venue_id,venue_name,venue_category,full_address,website,contact_known,naics_code,data_source
VEN-001,101 Poker Club,Poker / Card Club,"20900 Katy Fwy, Katy, Texas 77449",101poker-club.com,True,,zoominfo|research
VEN-002,500 Club Casino (copy),Casino,"771 W Shaw Ave, Clovis, California, 93612, United States",500clubcasino.com,True,713210.0,zoominfo
VEN-003,Ace & Vine,Poker / Card Club,"505 Lincoln Ave, Napa, California, 94558, United States",aceandvine.com,True,722410.0,zoominfo
VEN-004,Agua Caliente Casinos,Casino Hotel,"32250 Bob Hope Dr, Rancho Mirage, California, 92270, United States",aguacalientecasinos.com,True,721120.0,zoominfo
VEN-005,Alamo Card House 2,Poker / Card Club,"10311 Perrin Beitel Rd, San Antonio, Texas, 78217, United States",alamocardhouse.net,True,713990.0,zoominfo
VEN-007,Apache Casino Hotel,Casino Hotel,"2315 E Gore Blvd, Lawton, Oklahoma 73501",apachecasinohotel.com,False,,accounts_only|research
VEN-008,Artichoke Joe's Casino,Casino,"659 Huntington Ave, San Bruno, California, 94066, United States",artichokejoes.com,True,713210.0,zoominfo
VEN-010,Bay 101 Casino,Casino Hotel,"1788 N 1st St, San Jose, California, 95112, United States",bay101.com,True,721120.0,zoominfo
VEN-011,Beach Poker Club,Casino,"890 Seneca Rd Ste 700, Eugene, Oregon, 97402, United States",beachpokerclub.com,True,713290.0,zoominfo
VEN-012,Bear River Casino,Casino Hotel,"11 Bear Paws Way, Loleta, California, 95551, United States",bearrivercasino.com,True,721120.0,zoominfo
VEN-013,Bend Poker Room,Poker / Card Club,"917 NE Greenwood Ave, Bend, Oregon 97701",bendpokerroom.com,False,,accounts_only|research
VEN-014,Blue Lake Casino,Casino Hotel,"777 Casino Way, Blue Lake, California, 95525, United States",bluelakecasino.com,True,721120.0,zoominfo
VEN-016,Cache Creek Casino Resort,Casino Hotel,"14455 Hwy 16, Brooks, California, 95606, United States",cachecreek.com,True,721120.0,zoominfo
VEN-017,California Grand Casino,Casino,"5988 Pacheco Blvd, Pacheco, California, 94553, United States",californiagrandcasino.com,True,713210.0,zoominfo
VEN-018,Canterbury Park,Poker / Card Club,"1100 Canterbury Rd S, Shakopee, Minnesota, 55379, United States",canterburypark.com,True,713990.0,zoominfo
VEN-019,Capitol Casino,Casino,"411 N 16th St, Sacramento, California, 95811, United States",capitol-casino.com,True,713210.0,zoominfo
VEN-024,Casino M8trix,Poker / Card Club,"1887 Matrix Blvd, San Jose, California, 95110, United States",casinom8trix.com,True,722410.0,zoominfo
VEN-025,Casino Monterey - The Marina Club,Casino Hotel,"204 Carmel Ave, Marina, California, 93933, United States",casinomonterey.com,True,721120.0,zoominfo
VEN-026,Casino Pauma,Casino,"777 Pauma Reservation Rd, Pauma Valley, California 92061",casinopauma.com,False,,accounts_only|research
VEN-027,Celebrity Card Club,Poker / Card Club,"4803 Plaza Blvd Ste 202, Odessa, Texas 79762",pokerodessa.com,False,,accounts_only|research
VEN-030,Cherokee Nation Entertainment,Casino Hotel,"777 W Cherokee St, Tulsa, Oklahoma, 74015, United States",hardrockcasinotulsa.com,True,721120.0,zoominfo
VEN-031,Choctaw Casinos & Resorts,Casino Hotel,"1638 S George Nigh Expy, McAlester, Oklahoma, 74501, United States",choctawcasinos.com,True,721110.0,zoominfo
